CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,MEDV
0.25356,0.0,9.9,0.544,5.705,77.7,3.945,304,18.4,16.2
0.59005,0.0,21.89,0.624,6.372,97.9,2.3274,437,21.2,23.0
0.03502,80.0,4.95,0.411,6.861,27.9,5.1167,245,19.2,28.5
13.9134,0.0,18.1,0.713,6.208,95.0,2.2222,666,20.2,11.7
3.67367,0.0,18.1,0.583,6.312,51.9,3.9917,666,20.2,21.2
67.9208,0.0,18.1,0.693,5.683,100.0,1.4254,666,20.2,5.0
3.69311,0.0,18.1,0.713,6.376,88.4,2.5671,666,20.2,17.7
0.21038,20.0,3.33,0.4429,6.812,32.2,4.1007,216,14.9,35.1
0.04684,0.0,3.41,0.489,6.417,66.1,3.0923,270,17.8,22.6
0.28392,0.0,7.38,0.493,5.708,74.3,4.7211,287,19.6,18.5
0.19133,22.0,5.86,0.431,5.605,70.2,7.9549,330,19.1,18.5
0.06162,0.0,4.39,0.442,5.898,52.3,8.0136,352,18.8,17.2
13.0751,0.0,18.1,0.58,5.713,56.7,2.8237,666,20.2,20.1
0.16439,22.0,5.86,0.431,6.433,49.1,7.8265,330,19.1,24.5
0.13058,0.0,10.01,0.547,5.872,73.1,2.4775,432,17.8,20.4
0.04666,80.0,1.52,0.404,7.107,36.6,7.309,329,12.6,30.3
5.44114,0.0,18.1,0.713,6.655,98.2,2.3552,666,20.2,15.2
0.21161,0.0,8.56,0.52,6.137,87.4,2.7147,384,20.9,19.3
0.38735,0.0,25.65,0.581,5.613,95.6,1.7572,188,19.1,15.7
3.69695,0.0,18.1,0.718,4.963,91.4,1.7523,666,20.2,21.9
0.0837,45.0,3.44,0.437,7.185,38.9,4.5667,398,15.2,34.9
0.02055,85.0,0.74,0.41,6.383,35.7,9.1876,313,17.3,24.7
0.0459,52.5,5.32,0.405,6.315,45.6,7.3172,293,16.6,22.3
0.06127,40.0,6.41,0.447,6.826,27.6,4.8628,254,17.6,33.1
0.19186,0.0,7.38,0.493,6.431,14.7,5.4159,287,19.6,24.6
0.1712,0.0,8.56,0.52,5.836,91.9,2.211,384,20.9,19.5
1.6566,0.0,19.58,0.871,6.122,97.3,1.618,403,14.7,21.5
0.00632,18.0,2.31,0.538,6.575,65.2,4.09,296,15.3,24.0
0.88125,0.0,21.89,0.624,5.637,94.7,1.9799,437,21.2,14.3
0.98843,0.0,8.14,0.538,5.813,100.0,4.0952,307,21.0,14.5
0.01538,90.0,3.75,0.394,7.454,34.2,6.3361,244,15.9,44.0
0.05561,70.0,2.24,0.4,7.041,10.0,7.8278,358,14.8,29.0
0.3692,0.0,9.9,0.544,6.567,87.3,3.6023,304,18.4,23.8
0.0315,95.0,1.47,0.403,6.975,15.3,7.6534,402,17.0,34.9
0.05789,12.5,6.07,0.409,5.878,21.4,6.498,345,18.9,22.0
0.01778,95.0,1.47,0.403,7.135,13.9,7.6534,402,17.0,32.9
0.57529,0.0,6.2,0.507,8.337,73.3,3.8384,307,17.4,41.7
20.0849,0.0,18.1,0.7,4.368,91.2,1.4395,666,20.2,8.8
18.811,0.0,18.1,0.597,4.628,100.0,1.5539,666,20.2,17.9
14.3337,0.0,18.1,0.614,6.229,88.0,1.9512,666,20.2,21.4
0.07896,0.0,12.83,0.437,6.273,6.0,4.2515,398,18.7,24.1
0.03578,20.0,3.33,0.4429,7.82,64.5,4.6947,216,14.9,45.4
0.10612,30.0,4.93,0.428,6.095,65.1,6.3361,300,16.6,20.1
0.97617,0.0,21.89,0.624,5.757,98.4,2.346,437,21.2,15.6
18.4982,0.0,18.1,0.668,4.138,100.0,1.137,666,20.2,13.8
4.0974,0.0,19.58,0.871,5.468,100.0,1.4118,403,14.7,15.6
0.15445,25.0,5.13,0.453,6.145,29.2,7.8148,284,19.7,23.3
0.23912,0.0,9.69,0.585,6.019,65.3,2.4091,391,19.2,21.2
0.0456,0.0,13.89,0.55,5.888,56.0,3.1121,276,16.4,23.3
1.38799,0.0,8.14,0.538,5.95,82.0,3.99,307,21.0,13.2
7.36711,0.0,18.1,0.679,6.193,78.1,1.9356,666,20.2,11.0
0.1415,0.0,6.91,0.448,6.169,6.6,5.7209,233,17.9,25.3
